unique_id,Primary_Name,Secondary_Name,Fathers_me,Birthplace,Birthplace_Code,Certainty_of_Birthplace,Work/Living_Places,Work/Living_Places_Code,Endeavor_codes,Endeavors,Era,Century,Fame,philosophy,culture,economy,politics,military,religion
Aemilius Lepidus (6)_40,Aemilius Lepidus (6),Marcus,Aemilius Lepidus (6),,,3,Rome,0,"504,",,24,,,0,1,0,0,0,0
Aemlius Lepidus_41,Aemlius Lepidus,Paullus,L. Aemlius Paullus,,,3,"Rome,Sicily","0,0","407,410,404,309,0",,21,,,0,1,0,1,1,0
Aemilius Macer_42,Aemilius Macer,,,Vero,2341,3,Verona,0,"113,",,22,,0.1,0,1,0,0,0,0
Aemilius Papinianus_43,Aemilius Papinianus,,,Africa,,3,"Africa,Rome","0,0","409,408,107",,31,,0.5,0,1,0,1,0,0
Aemilius Paullus (1)_44,Aemilius Paullus (1),Lucius,,,,3,"Rome,Illyria,Cannae","0,0,0","407,412",,14,,0.2,0,0,0,1,0,0
Aemilius Paullus (2)_45,Aemilius Paullus (2),Lucius,,,,3,"Rome,Further Spain,Asia,Liguria,Pydna","0,0,0,0,0","309,406,412,406,407,000,000",,16,,,0,1,0,1,1,0
Aemilius Paullus (3)_46,Aemilius Paullus (3),Lucius,son of (two),,,3,"Rome,Macedonia,Mutina,Miletus","0,0,0,0","418,421,420,407",,20,,0.2,0,1,0,1,0,0
Aemilius Paullus (4)_47,Aemilius Paullus (4),Lucius,Paullus Aemilius Lepidus,,,3,Rome,0,"406,504",,23,,,0,1,0,1,0,0
Aemilius Regillus_48,Aemilius Regillus,Lucius,,,,3,"Rome,Myonnesus","0,0","420,419",,15,,,0,0,0,1,0,0
Aemilius Scaurus_49,Aemilius Scaurus,Mamercus,,,,3,Rome,0,"411,409,407",,23,,0.1,0,1,0,1,0,0
Aemilius Scaurus (1)_50,Aemilius Scaurus (1),Marcus,,,,3,"Rome,Liguria,Asia","0,0,0","407,404,402,426",,18,,0.6,0,1,0,1,0,0
Aemilius Scaurus (2)_51,Aemilius Scaurus (2),Marcus,son of (one),,,3,"Rome,Judaea,Nabataea,Sardinia","0,0,0,0","418,421,420,406",,20,,0.3,0,1,0,1,0,0
Aeneas (Aineias) Tacticus_52,Aeneas (Aineias) Tacticus,,,Stymphalos,296,1,Arcadia,0,"107,412",,8,,0.2,0,1,0,1,0,0
Aenesidemus_53,Aenesidemus,,,Cnossus,967,1,Alexandria,0,"102,110",,,-1,0.2,0,1,0,0,0,0
Aeschines_54,Aeschines,,,Athens,361,1,"Athens,Megalopolis,Macedonia,Rhodes","361,0,0,0","411,426,110",,9,,2.1,0,1,0,1,0,0
Aeschines Socraticus_55,Aeschines Socraticus,,,Sphettus_(Attica),,3,"Athens,Syracuse,Athens","361,0,0","107,102",,8,,0.3,0,1,0,0,0,0
Aeschylus_56,Aeschylus,,,Eleusis,362,1,"Athens,Syracuse,Athens,Gela","361,0,0,0","206,105",,4,,4.4,1,1,0,0,0,0
Aesopus_57,Aesopus,,,,,3,Rome,0,"207,",,20,,0.2,0,1,0,0,0,0
A_tius (1)_58,A_tius (1),,,,,3,NA,0,"107,102",,,1,0.2,0,1,0,0,0,0
A_tius (2)_59,A_tius (2),,,Amida,,3,"Alexandria,Constantinople","0,0","307,107",,44,,0.2,1,1,0,0,0,0
Aetius_60,Aetius,Flavius,Gaudentius,Durostorum,2121,3,"Rome,Gaul","0,0","412,604,407,407,407,000",,40,,0.3,0,0,0,1,0,0
Afranius (1)_61,Afranius (1),Lucius,,,,3,Rome,0,"118,",,,-2,0.2,1,0,0,0,0,0
Afranius (2)_62,Afranius (2),Lucius,,Picenum,2259,3,"Rome,Gaul,Asia,Hither Spain,Ilerda,Pharsalus,Thapsus","0,0,0,0,0,0,0","413,420,410,407,406",,20,,0.3,0,0,0,1,0,0
Afranius Burrus_63,Afranius Burrus,Sextus,,rbonensis,2217,1,Rome,0,"424,408",,25,,,0,0,0,1,0,0
Agasias (1)_64,Agasias (1),,Dositheus,Ephesus,844,1,NA,0,"201,",,18,,0.1,0,1,0,0,0,0
Agasias (2)_65,Agasias (2),,Menophilus,Ephesus,844,1,Delos,0,"201,",,18,,0.1,0,1,0,0,0,0
Agatharchides_66,Agatharchides,,,Cnidus,2096,3,"Alexandria,Athen","0,361","108,308,104",,17,,0.2,1,1,0,0,0,0
Agatharchus_67,Agatharchus,,,Samos,864,1,Athens,0,"202,",,5,,0.3,0,1,0,0,0,0
Agathias_68,Agathias,Agathias Scholasticus,,Myri,502,1,"Alexandria,Constantinople","0,0","409,107,108,113",,44,,0.6,1,1,0,0,0,0
Agathinus_69,Agathinus,,,Sparta,345,1,Sparta,345,"307,107",,,1,0.2,1,1,0,0,0,0
Agathocles (1)_70,Agathocles (1),,Carcinus,Termae,2311,3,"Syracuse,Croton,Tarentum,Himera,Carthage,Bruttium,Corcyra","47,0,0,0,0,0,0","412,406,605",,10,,1.2,0,0,0,1,0,0
Agathocles (2)_71,Agathocles (2),,,Cyzicus,2116,3,NA,0,"104,114",,14,,,1,1,0,0,0,0
Agathon_72,Agathon,,Tisamenus,Athens,361,1,"Athens,Macedon","361,0","105,",,6,,0.6,1,0,0,0,0,0
Agennius Urbicus_73,Agennius Urbicus,,,,,3,NA,0,"107,308",,,5,0.1,1,1,0,0,0,0
