name,polis_id,xcoord,ycoord,City_ethnic,Constitution,Region,Size_of_Territory,Demos,Boule,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation
none,none,none,none,none,checkbox,parallel,parallel,binary,checkbox,binary,binary,binary,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,parallel,binary,parallel,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,parallel,parallel
,,,,,"NR,Dem,Ol,Pol,Tyr,Bas",,,,"val1,val2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965-Itanos,965,26.25,35.25,Itanios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
987-Rhithymnos,987,24.5,35.33333333,Rhithymnios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957-Eleutherna,957,24.66666667,35.33333333,Eleuthernaios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
950-Axos,950,24.83333333,35.33333333,Axios,NR,41,2,0,val2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
992-Tylisos,992,25,35.33333333,Tylisios,NR,41,2,0,val2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961-Herakleion,961,25.16666667,35.33333333,Herakleiotas,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967-Knosos,967,25.16666667,35.33333333,Knosios,NR,41,4,0,val2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
953-Chersonasos,953,25.41666667,35.33333333,Chersonasios/Cherronesios,NR,41,1,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977-Milatos,977,25.58333333,35.33333333,Milatios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966-Keraia,966,24,35.41666667,Kera_tas,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
